Image,Level,Method,Optimization,Thresholds,Objective Value,SSIM,PSNR,Unique Values
T62,2,Otsu,Variable Neighborhood Search,[56],48821306.26968775,0.6126787328951155,18.616245392741867,"[0, 127]"
T62,2,Kapur,Variable Neighborhood Search,[177],-7.933107376098633,0.17007333653951745,5.310576789361013,"[0, 128, 255]"
T62,3,Otsu,Simulated Annealing,[ 47 121],19116748.535799958,0.5984087909585768,14.146054953767974,"[0, 85, 170]"
T62,3,Kapur,Simulated Annealing,[20 95],-9.721817255020142,0.30613600685102377,8.491522572922554,"[0, 85, 170, 255]"
T62,3,Otsu,Variable Neighborhood Search,[ 46 119],19154390.05778116,0.5984087909585768,14.146054953767974,"[0, 85, 170]"
T62,3,Kapur,Variable Neighborhood Search,[120 184],-11.455835819244385,0.30613600685102377,8.491522572922554,"[0, 85, 170, 255]"
T62,4,Otsu,Simulated Annealing,[ 40  96 145],11518133.5231876,0.5414180784557779,11.764294542106601,"[0, 63, 126, 189]"
T62,4,Kapur,Simulated Annealing,[63 37 93],-12.634177684783936,0.39674204919990536,11.590330051202614,"[0, 64, 127, 191, 255]"
T62,4,Otsu,Variable Neighborhood Search,[ 39  92 138],11673019.5685161,0.5414180784557779,11.764294542106601,"[0, 63, 126, 189]"
T62,4,Kapur,Variable Neighborhood Search,[105 148 199],-14.456121444702148,0.39674204919990536,11.590330051202614,"[0, 64, 127, 191, 255]"
T62,5,Otsu,Simulated Annealing,[ 25  69 110 157],7814726.386940174,0.4728399280647977,10.122377415965634,"[0, 51, 102, 153, 204]"
T62,5,Kapur,Simulated Annealing,[  6  23 139  95],-15.506525695323944,0.4620440832360095,14.613138520456857,"[0, 51, 102, 153, 204, 255]"
T62,5,Otsu,Variable Neighborhood Search,[ 39  83 126 171],8393161.729590446,0.4728399280647977,10.122377415965634,"[0, 51, 102, 153, 204]"
T62,5,Kapur,Variable Neighborhood Search,[ 94 139 177 214],-17.397448539733887,0.4620440832360095,14.613138520456857,"[0, 51, 102, 153, 204, 255]"
